,drive_id,creation_date,wear_percentage,Percentage_Increase,Weighted_MA,Diff_in_WeightedMA_and_%Inc,Steepness_Check
56,607,2016-10-16 08:59:03,36.0,0.0,-37100.06,37100.06,1
55,607,2016-10-16 03:00:58,36.0,0.0,-24740.03,24740.03,1
54,607,2016-10-15 16:05:13,36.0,99.86,-12380.0,12479.86,1
29,607,2016-10-06 16:01:52,37.0,99.86,0.0,99.86,1
87,607,2016-10-26 16:22:35,43.0,25.58,0.0,25.58,1
76,607,2016-10-23 03:04:26,30.0,0.0,-24.0,24.0,1
42,607,2016-10-11 08:58:15,35.0,14.29,-9.33,23.62,1
71,607,2016-10-21 09:06:16,42.0,21.43,0.0,21.43,1
75,607,2016-10-22 16:10:38,30.0,0.0,-16.0,16.0,1
43,607,2016-10-11 15:59:20,35.0,0.0,-11.14,11.14,1
47,607,2016-10-13 03:09:21,31.0,0.0,-8.71,8.71,1
81,607,2016-10-24 16:04:10,32.0,6.25,0.0,6.25,1
46,607,2016-10-12 15:46:27,31.0,0.0,-6.02,6.02,1
41,607,2016-10-11 03:05:17,30.0,0.0,-4.67,4.67,1
61,607,2016-10-18 03:13:51,34.0,0.0,-2.35,2.35,1
65,607,2016-10-19 08:57:19,33.0,0.0,-1.82,1.82,1
64,607,2016-10-19 03:00:26,33.0,0.0,-1.21,1.21,1
60,607,2016-10-17 16:04:53,34.0,0.0,-1.18,1.18,1
63,607,2016-10-18 16:11:30,33.0,0.0,-0.61,0.61,1
62,607,2016-10-18 09:27:56,33.0,-3.03,-3.53,0.5,1
50,607,2016-10-14 02:58:55,31.0,0.0,0.0,0.0,0
1,607,2016-09-27 02:54:22,0.05,0.0,0.0,0.0,0
80,607,2016-10-24 09:09:04,30.0,0.0,0.0,0.0,0
49,607,2016-10-13 16:08:22,31.0,0.0,0.0,0.0,0
0,607,2016-09-26 20:03:00,0.05,0.0,0.0,0.0,0
51,607,2016-10-14 09:03:39,31.0,0.0,0.0,0.0,0
52,607,2016-10-14 16:06:46,31.0,0.0,0.0,0.0,0
58,607,2016-10-17 03:07:09,36.0,0.0,0.0,0.0,0
38,607,2016-10-09 16:00:53,37.0,0.0,0.0,0.0,0
66,607,2016-10-19 15:59:19,33.0,0.0,0.0,0.0,0
67,607,2016-10-20 03:01:50,33.0,0.0,0.0,0.0,0
68,607,2016-10-20 09:01:24,33.0,0.0,0.0,0.0,0
69,607,2016-10-20 16:09:39,33.0,0.0,0.0,0.0,0
70,607,2016-10-21 03:04:47,33.0,0.0,0.0,0.0,0
77,607,2016-10-23 09:04:15,30.0,0.0,0.0,0.0,0
78,607,2016-10-23 16:06:15,30.0,0.0,0.0,0.0,0
39,607,2016-10-10 08:45:53,37.0,0.0,0.0,0.0,0
79,607,2016-10-24 03:05:38,30.0,0.0,0.0,0.0,0
37,607,2016-10-09 08:59:37,37.0,0.0,0.0,0.0,0
12,607,2016-09-30 15:56:23,0.05,0.0,0.0,0.0,0
36,607,2016-10-09 02:50:46,37.0,0.0,0.0,0.0,0
18,607,2016-10-02 15:58:10,0.05,0.0,0.0,0.0,0
17,607,2016-10-02 08:54:50,0.05,0.0,0.0,0.0,0
16,607,2016-10-02 02:50:59,0.05,0.0,0.0,0.0,0
15,607,2016-10-01 16:02:08,0.05,0.0,0.0,0.0,0
14,607,2016-10-01 08:57:22,0.05,0.0,0.0,0.0,0
13,607,2016-10-01 03:05:05,0.05,0.0,0.0,0.0,0
11,607,2016-09-30 09:03:44,0.05,0.0,0.0,0.0,0
4,607,2016-09-28 02:57:52,0.05,0.0,0.0,0.0,0
10,607,2016-09-30 03:06:48,0.05,0.0,0.0,0.0,0
9,607,2016-09-29 15:58:43,0.05,0.0,0.0,0.0,0
8,607,2016-09-29 08:47:17,0.05,0.0,0.0,0.0,0
7,607,2016-09-29 02:49:17,0.05,0.0,0.0,0.0,0
2,607,2016-09-27 08:51:00,0.05,0.0,0.0,0.0,0
6,607,2016-09-28 15:50:16,0.05,0.0,0.0,0.0,0
3,607,2016-09-27 15:51:44,0.05,0.0,0.0,0.0,0
19,607,2016-10-03 03:00:00,0.05,0.0,0.0,0.0,0
5,607,2016-09-28 08:56:16,0.05,0.0,0.0,0.0,0
20,607,2016-10-03 09:02:08,0.05,0.0,0.0,0.0,0
21,607,2016-10-03 15:58:10,0.05,0.0,0.0,0.0,0
35,607,2016-10-08 15:53:06,37.0,0.0,0.0,0.0,0
34,607,2016-10-08 09:06:14,37.0,0.0,0.0,0.0,0
33,607,2016-10-08 03:03:44,37.0,0.0,0.0,0.0,0
85,607,2016-10-26 03:01:33,32.0,0.0,0.0,0.0,0
86,607,2016-10-26 09:15:45,32.0,0.0,0.0,0.0,0
28,607,2016-10-06 02:56:10,0.05,0.0,0.0,0.0,0
27,607,2016-10-05 16:00:29,0.05,0.0,0.0,0.0,0
26,607,2016-10-05 08:59:42,0.05,0.0,0.0,0.0,0
25,607,2016-10-05 02:51:18,0.05,0.0,0.0,0.0,0
24,607,2016-10-04 15:55:40,0.05,0.0,0.0,0.0,0
23,607,2016-10-04 09:04:27,0.05,0.0,0.0,0.0,0
22,607,2016-10-04 02:57:01,0.05,0.0,0.0,0.0,0
82,607,2016-10-25 03:14:03,32.0,0.0,1.25,-1.25,0
48,607,2016-10-13 09:06:36,31.0,0.0,1.94,-1.94,0
45,607,2016-10-12 09:03:49,31.0,3.23,5.24,-2.01,0
83,607,2016-10-25 09:03:23,32.0,0.0,2.5,-2.5,0
84,607,2016-10-25 16:02:16,32.0,0.0,3.75,-3.75,0
72,607,2016-10-21 15:58:24,42.0,0.0,4.29,-4.29,0
74,607,2016-10-22 09:08:09,30.0,0.0,4.86,-4.86,0
59,607,2016-10-17 10:02:35,34.0,-5.88,0.0,-5.88,0
88,607,2016-10-27 16:12:52,40.0,-7.5,5.12,-12.62,0
30,607,2016-10-07 02:58:01,37.0,0.0,19.97,-19.97,0
44,607,2016-10-12 03:02:58,30.0,-16.67,5.72,-22.39,0
40,607,2016-10-10 15:52:43,30.0,-23.33,0.0,-23.33,0
31,607,2016-10-07 08:58:33,37.0,0.0,39.94,-39.94,0
73,607,2016-10-22 03:07:22,30.0,-40.0,8.57,-48.57,0
57,607,2016-10-16 16:03:17,36.0,0.0,59.92,-59.92,0
32,607,2016-10-07 16:04:58,37.0,0.0,59.92,-59.92,0
53,607,2016-10-15 03:08:10,0.05,-61900.0,0.0,-61900.0,0
